uri,notation,prefLabel,definition,collections,inScheme,topConceptOf,broader,exactMatch,belongsTo,theme,gekoppelde_eigenschap,altLabel,seeAlso
beslissing:beroep_tegen_registratie_onontvankelijk_verklaard,beroep_tegen_registratie_onontvankelijk_verklaard,beroep tegen registratie onontvankelijk verklaard,,,conceptscheme:beslissing,conceptscheme:beslissing,,,,,,,procedure:beroep_tegen_registratie
beslissing:beroep_tegen_registratie_ingewilligd,beroep_tegen_registratie_ingewilligd,beroep tegen registratie ingewilligd,,,conceptscheme:beslissing,conceptscheme:beslissing,,,,,,,procedure:beroep_tegen_registratie
beslissing:beroep_tegen_registratie_verworpen,beroep_tegen_registratie_verworpen,beroep tegen registratie verworpen,,,conceptscheme:beslissing,conceptscheme:beslissing,,,,,,,procedure:beroep_tegen_registratie
beslissing:aanvraag_schrapping_aanvaard,aanvraag_schrapping_aanvaard,aanvraag schrapping aanvaard,,,conceptscheme:beslissing,conceptscheme:beslissing,,,,,,,procedure:aanvraag_schrapping
beslissing:aanvraag_schrapping_niet_aanvaard,aanvraag_schrapping_niet_aanvaard,aanvraag schrapping niet aanvaard,,,conceptscheme:beslissing,conceptscheme:beslissing,,,,,,,procedure:aanvraag_schrapping
beslissing:aanvraag_opschorting_heffing_aanvaard,aanvraag_opschorting_heffing_aanvaard,aanvraag opschorting heffing aanvaard,,,conceptscheme:beslissing,conceptscheme:beslissing,,,,,,,procedure:aanvraag_opschorting_heffing
beslissing:aanvraag_opschorting_heffing_niet_aanvaard,aanvraag_opschorting_heffing_niet_aanvaard,aanvraag opschorting heffing niet aanvaard,,,conceptscheme:beslissing,conceptscheme:beslissing,,,,,,,procedure:aanvraag_opschorting_heffing
beslissing:registratie_ingetrokken,registratie_ingetrokken,registratie ingetrokken,,,conceptscheme:beslissing,conceptscheme:beslissing,,,,,,,
beslissing:geschrapt_uit_inventaris,geschrapt_uit_inventaris,geschrapt uit inventaris,,,conceptscheme:beslissing,conceptscheme:beslissing,,,,,,,
beslissing:heffing_opgeschort,heffing_opgeschort,heffing opgeschort,,,conceptscheme:beslissing,conceptscheme:beslissing,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
conceptscheme:rol,cs_rol,Conceptschema over kenmerken van verwaarlozing aan gebouwen.,"Het vertonen van uitgesproken gebreken van algemene of beperkte omvang van bedrijfsverwaarlozing. De Vlaamse regering bepaalt de gebreken van algemene en beperkte omvang, alsook de criteria voor de beoordeling van de gebreken en de minimumnorm van de te vertonen gebreken om een bedrijfsruimte al dan niet als geheel of gedeeltelijk verwaarloosd te beschouwen;",,,,,,omg_dataset:codelijst-verwaarlozing,thema:5,,,
rol:eigenaar,,Eigenaar,"De houder van een van de volgende zakelijke rechten met betrekking tot een bedrijfsgebouw: de volle eigendom, het recht van opstal of van erfpacht, het vruchtgebruik",,conceptscheme:rol,conceptscheme:rol,,,,,,,
rol:curator,,Curator, ,,conceptscheme:rol,conceptscheme:rol,,,,,,,
rol:raadsman,,Raadsman, ,,conceptscheme:rol,conceptscheme:rol,,,,,,,
rol:instrumenterend_ambtenaar,,Instrumenterend ambtenaar,Iedere persoon of instelling die ertoe gemachtigd is aktes van eigendomsoverdracht te verlijden,,conceptscheme:rol,conceptscheme:rol,,,,,,,
